,Match_addr,County,Postal,PostalExt,Country,X,Y,>1,Pop 1 mile,Particulate Matter (PM 2.5 in ug/m3),Ozone (ppb),NATA Diesel PM (ug/m3),NATA Air Toxics Cancer Risk (risk per MM),NATA Respiratory Hazard Index,Traffic Proximity and Volume (daily traffic count/distance to road),Lead Paint Indicator (% pre-1960s housing),Superfund Proximity (site count/km distance),RMP Proximity (facility count/km distance),Hazardous Waste Proximity (facility count/km distance),Wastewater Discharge Indicators (toxicity-weighted concentration/m distance),Demographic Index,Minority Population,Low Income Population,Linguistically Isolated Population,Population with Less Than High School Education,Population under Age 5,Population over Age 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"470 Collier Rd, Woodland, North Carolina, 27897",Northampton County,27897,9501,USA,-77.2806285,36.341928,,45,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"11875 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9669,USA,-77.43745582,36.47935247,,456,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,73%,85%,60%,0%,20%,6%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"217 Woodhaven Ln, Henrico, North Carolina, 27842",Northampton County,27842,9663,USA,-77.84326666,36.51325572,,194,7.87,39.5,0.146,30,0.39,0.44,0.037,0.014,0.052,0.043,0.039,29%,26%,32%,0%,12%,1%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"169 Turkey Branch Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9376,USA,-77.13403536,36.46540164,,54,7.48,39.1,0.158,28,0.37,1.9,0.37,0.014,0.17,0.15,7.50E-06,48%,51%,45%,1%,27%,6%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"11817 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9669,USA,-77.4368394,36.47757102,,399,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,73%,85%,60%,0%,20%,6%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"11857 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9669,USA,-77.43725133,36.47879931,,390,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,73%,85%,60%,0%,20%,6%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"11843 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9669,USA,-77.43710429,36.47837021,,390,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,73%,85%,60%,0%,20%,6%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"1288 Hargraves Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9533,USA,-77.47247597,36.44955558,,60,7.75,39.4,0.183,30,0.4,100,0.25,0.011,0.17,0.16,0.0024,85%,91%,80%,0%,30%,9%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"230 Newsome Ln, Garysburg, North Carolina, 27831",Northampton County,27831,9560,USA,-77.61741203,36.50699024,,416,7.89,39.4,0.19,32,0.44,65,0.13,0.011,0.23,0.13,0.0017,63%,72%,55%,0%,34%,3%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"520 Barrett Cabin Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9491,USA,-77.14579905,36.44920021,,388,7.42,39.1,0.152,28,0.37,2.1,0.31,0.015,0.14,0.13,7.10E-06,58%,64%,52%,1%,29%,4%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"275 Louis McGlen Ln, Gaston, North Carolina, 27832",Northampton County,27832,9583,USA,-77.73244714,36.52790703,,95,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,46%,50%,42%,0%,30%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"2422 Galatia Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7200,USA,-77.26631276,36.48913871,,11,7.53,39.1,0.163,28,0.37,21,0.3,0.014,0.85,0.4,4.20E-05,55%,54%,56%,5%,20%,8%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"8191 NC-46, Garysburg, North Carolina, 27831",Northampton County,27831,7509,USA,-77.57204329,36.4507082,,1042,7.75,39.4,0.183,30,0.4,100,0.21,0.011,0.2,0.18,0.011,81%,96%,66%,0%,27%,6%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"519 Cherry Tree Rd, Gaston, North Carolina, 27832",Northampton County,27832,NA,USA,-77.71822921,36.52469853,,189,7.89,39.4,0.19,32,0.44,40,0.16,0.011,0.24,0.11,0.0021,70%,84%,57%,0%,35%,3%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"319 Boones Bridge Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7049,USA,-77.15704146,36.51858456,1.2,33,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"1288 Hargraves Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9533,USA,-77.47247597,36.44955558,,60,7.75,39.4,0.183,30,0.4,100,0.25,0.011,0.17,0.16,0.0024,85%,91%,80%,0%,30%,9%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"3178 Mt Carmel Rd, Seaboard, North Carolina, 27876",Northampton County,27876,9676,USA,-77.39870014,36.45267548,,5,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"3178 Mt Carmel Rd, Seaboard, North Carolina, 27876",Northampton County,27876,9676,USA,-77.39870014,36.45267548,,5,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"3178 Mt Carmel Rd, Seaboard, North Carolina, 27876",Northampton County,27876,9676,USA,-77.39870014,36.45267548,,5,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"280 Lonnie Goode Road, Margarettsville, North Carolina, 27853",Northampton County,27853,NA,USA,-77.37621126,36.52462563,,30,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"346 Henry Kee Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9507,USA,-77.44353916,36.45243071,,59,7.75,39.4,0.183,30,0.4,22,0.36,0.011,0.06,0.059,5.10E-10,59%,67%,51%,0%,23%,4%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"185 Price Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9513,USA,-77.44940781,36.45127144,,49,7.75,39.4,0.183,30,0.4,26,0.36,0.011,0.06,0.059,4.40E-10,56%,64%,49%,0%,23%,4%,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"4813 Big Johns Store Rd, Pleasant Hill, North Carolina, 27866",Northampton County,27866,9660,USA,-77.510769,36.51204798,,129,7.75,39.4,0.183,30,0.4,2.6,0.32,0.011,0.097,0.093,8.20E-07,45%,56%,34%,0%,13%,0%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"179 Twin Ln, Gaston, North Carolina, 27832",Northampton County,27832,9145,USA,-77.78851863,36.52803668,,172,7.87,39.5,0.149,30,0.4,7.4,0.16,0.013,0.078,0.054,0.018,35%,39%,31%,0%,20%,2%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"7200 US-158, Jackson, North Carolina, 27845",Northampton County,27845,9663,USA,-77.37599833,36.42958479,,24,7.53,39.1,0.163,28,0.37,2.1,0.15,0.012,0.12,0.11,1.30E-07,42%,48%,36%,0%,11%,9%,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"945 Gilmer Ricks Rd, Conway, North Carolina, 27820",Northampton County,27820,9211,USA,-77.19718609,36.42885688,,85,7.53,39.1,0.163,28,0.37,13,0.48,0.013,1.3,0.58,6.30E-05,24%,21%,27%,0%,14%,7%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"1085 Barrett Cabin Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9380,USA,-77.13849369,36.46337714,,37,7.53,39.1,0.163,28,0.37,1.9,0.44,0.014,0.2,0.17,8.10E-06,38%,39%,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"2187 Britton Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7251,USA,-77.21160036,36.47806889,,42,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"10179 NC-305, Jackson, North Carolina, 27845",Northampton County,27845,9685,USA,-77.43479554,36.42947466,,81,7.75,39.4,0.183,30,0.4,52,0.42,0.011,0.06,0.058,0,39%,41%,36%,0%,26%,2%,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"459 Vaughan Creek Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7061,USA,-77.17219076,36.51928565,,167,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"217 Riverside Dr, Henrico, North Carolina, 27842",Northampton County,27842,9209,USA,-77.87687439,36.51888595,,281,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,28%,23%,33%,0%,11%,0%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"308 Reuben Jordan Ln, Garysburg, North Carolina, 27831",Northampton County,27831,2300,USA,-77.59131541,36.48367614,,39,7.83,39.4,0.187,31,0.42,82,0.17,0.011,0.21,0.14,0.0021,74%,81%,67%,0%,32%,6%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"1906 Pleasant Grove Rd, Jackson, North Carolina, 27845",Northampton County,27845,9559,USA,-77.44424594,36.43837906,,97,7.75,39.4,0.183,30,0.4,52,0.42,0.011,0.06,0.058,0,39%,41%,36%,0%,26%,2%,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"280 Lonnie Goode Road, Margarettsville, North Carolina, 27853",Northampton County,27853,NA,USA,-77.37621126,36.52462563,,30,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"189 Deweys Ln, Garysburg, North Carolina, 27831",Northampton County,27831,9529,USA,-77.49180012,36.45531871,,77,7.75,39.4,0.183,30,0.4,100,0.24,0.011,0.17,0.17,0.0025,87%,93%,81%,0%,29%,9%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"3178 Mt Carmel Rd, Seaboard, North Carolina, 27876",Northampton County,27876,9676,USA,-77.39870014,36.45267548,,5,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"248 Decharmarnel Dr, Murfreesboro, North Carolina, 27855",Northampton County,27855,9388,USA,-77.13986526,36.43650707,,342,7.41,39,0.152,28,0.37,4,0.3,0.015,0.13,0.12,4.80E-06,42%,49%,35%,0%,17%,5%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"170 Jones Way, Henrico, North Carolina, 27842",Northampton County,27842,9382,USA,-77.85904737,36.525292,,378,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,28%,23%,33%,0%,11%,0%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"803 Bristow Saw Mill Rd, Conway, North Carolina, 27820",Northampton County,27820,9382,USA,-77.3200563,36.37012636,,25,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"200 Bolton Road, Rich Square, North Carolina, 27869",Northampton County,27869,NA,USA,-77.31229418,36.31095918,,58,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"1320 Fire Tower Rd, Jackson, North Carolina, 27845",Northampton County,27845,9651,USA,-77.35059159,36.40991031,,114,7.53,39.1,0.163,28,0.37,3.1,0.044,0.012,0.14,0.13,0,48%,48%,48%,0%,4%,14%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"2187 Britton Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7251,USA,-77.21160036,36.47806889,,42,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"399 Willey Ln, Gaston, North Carolina, 27832",Northampton County,27832,9690,USA,-77.680964,36.490428,,140,7.89,39.4,0.191,32,0.44,93,0.24,0.012,0.34,0.13,0.02,44%,48%,40%,0%,28%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"172 Rocky Ln, Garysburg, North Carolina, 27831",Northampton County,27831,9606,USA,-77.48508296,36.43848535,,69,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,89%,95%,83%,0%,30%,10%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"157 Spuds Ln, Pleasant Hill, North Carolina, 27866",Northampton County,27866,9675,USA,-77.48293739,36.50161961,,83,7.75,39.4,0.183,30,0.4,1.1,0.32,0.011,0.076,0.074,3.50E-07,61%,73%,49%,0%,17%,3%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"197 Liverman St, Jackson, North Carolina, 27845",Northampton County,27845,9449,USA,-77.42909199,36.38812912,,498,7.75,39.4,0.183,30,0.4,46,0.42,0.011,0.057,0.054,0.0058,54%,54%,50%,2%,25%,2%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"199 Berry Scott Trl, Garysburg, North Carolina, 27831",Northampton County,27831,9402,USA,-77.63568463,36.54339726,,208,7.89,39.4,0.195,32,0.44,62,0.14,0.011,0.2,0.11,0.0013,61%,71%,52%,0%,33%,4%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"1351 Vaughan Creek Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7077,USA,-77.1540649,36.50015805,,17,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"10198 NC-305, Jackson, North Carolina, 27845",Northampton County,27845,9685,USA,-77.43463716,36.4297222,,81,7.75,39.4,0.183,30,0.4,52,0.42,0.011,0.06,0.058,0,39%,41%,36%,0%,26%,2%,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"1022 Bryantown Rd, Rich Square, North Carolina, 27869",Northampton County,27869,9619,USA,-77.31625498,36.27444399,,147,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,53%,53%,53%,0%,10%,7%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"320 Pleasant Hill Rd, Gaston, North Carolina, 27832",Northampton County,27832,9511,USA,-77.63996015,36.50363433,,1449,7.89,39.4,0.19,32,0.44,67,0.19,0.011,0.27,0.12,0.0078,60%,68%,51%,0%,33%,2%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"2186 US-158, Jackson, North Carolina, 27845",Northampton County,27845,NA,USA,-77.5031135,36.41173817,1.1,20,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,89%,95%,83%,0%,30%,10%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,"399 Willey Ln, Gaston, North Carolina, 27832",Northampton County,27832,9690,USA,-77.680964,36.490428,,140,7.89,39.4,0.191,32,0.44,93,0.24,0.012,0.34,0.13,0.02,44%,48%,40%,0%,28%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"1066 Bryantown Rd, Rich Square, North Carolina, 27869",Northampton County,27869,9619,USA,-77.31747658,36.27524741,,147,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,53%,53%,53%,0%,10%,7%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"1580 Nchs East Rd, Conway, North Carolina, 27820",Northampton County,27820,9493,USA,-77.306481,36.405756,,112,7.53,39.1,0.163,28,0.37,3.1,0.044,0.012,0.14,0.13,0,48%,48%,48%,0%,4%,14%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
